Position
Time (Seconds),J1 (Degrees),J2 (Degrees),J3 (Degrees),J4 (Degrees),J5 (Degrees),J6 (Degrees)
7.175000,6.087338,-37.983231,63.926350,-0.413897,64.714256,-100.732643
7.200000,6.068703,-38.104679,63.980556,-0.426533,64.774780,-101.746391
7.225000,6.048102,-38.225914,64.034515,-0.439036,64.835114,-102.761421
7.250000,6.025533,-38.346939,64.088226,-0.451436,64.895271,-103.780037
7.275000,6.000990,-38.467747,64.141678,-0.463697,64.955254,-104.799919
7.300000,5.974466,-38.588219,64.194832,-0.475812,65.014984,-105.821075
7.325000,5.945967,-38.708382,64.247696,-0.487805,65.074486,-106.845833
7.350000,5.915482,-38.828144,64.300240,-0.499633,65.133682,-107.871124
7.375000,5.883013,-38.947468,64.352448,-0.511316,65.192581,-108.898499
7.400000,5.848568,-39.066357,64.404305,-0.522870,65.251183,-109.929489
7.425000,5.812135,-39.184719,64.455795,-0.534248,65.309380,-110.961784
7.450000,5.773720,-39.302532,64.506889,-0.545454,65.367264,-111.995377
7.475000,5.733327,-39.419735,64.557587,-0.556505,65.424698,-113.031013
7.500000,5.690960,-39.536297,64.607864,-0.567392,65.481735,-114.069496
7.525000,5.646623,-39.652195,64.657715,-0.578108,65.538330,-115.110039
7.550000,5.600316,-39.767338,64.707115,-0.588631,65.594406,-116.152657
7.575000,5.552047,-39.881718,64.756042,-0.598982,65.650002,-117.197319
7.600000,5.501824,-39.995281,64.804497,-0.609146,65.705055,-118.244812
7.625000,5.449650,-40.107956,64.852432,-0.619106,65.759537,-119.292778
7.650000,5.395536,-40.219769,64.899872,-0.628877,65.813484,-120.342796
7.675000,5.339495,-40.330585,64.946777,-0.638459,65.866791,-121.396393
7.700000,5.281532,-40.440422,64.993141,-0.647824,65.919456,-122.450455
7.725000,5.221660,-40.549229,65.038933,-0.656993,65.971489,-123.507278
7.750000,5.159886,-40.656910,65.084160,-0.665934,66.022789,-124.566124
7.775000,5.096231,-40.763489,65.128799,-0.674671,66.073387,-125.626930
7.800000,5.030700,-40.868870,65.172813,-0.683183,66.123230,-126.689728
7.825000,4.963316,-40.973049,65.216232,-0.691469,66.172325,-127.753700
7.850000,4.894093,-41.075943,65.258995,-0.699546,66.220604,-128.821167
7.875000,4.823045,-41.177528,65.301117,-0.707371,66.268082,-129.888992
7.900000,4.750190,-41.277752,65.342575,-0.714969,66.314682,-130.958710
7.925000,4.675549,-41.376572,65.383362,-0.722326,66.360397,-132.031906
7.950000,4.599142,-41.473965,65.423454,-0.729451,66.405228,-133.106171
7.975000,4.520990,-41.569870,65.462845,-0.736337,66.449135,-134.182266
8.000000,4.441107,-41.664227,65.501518,-0.742945,66.492073,-135.259445
8.025000,4.359526,-41.757030,65.539459,-0.749317,66.534050,-136.339203
